PRODUCT: ACCESSORIES,,,,,,
SL NO,item name,line drawing,,SL NO,item name,line drawing
SCREEN & PARTITION,,,,KEYBOARD,,
1,Name plate,,,1,ABS keyboard tray without mouse pad,
2,Pen holder,,,2,ABS keyboard tray with mouse pad,
3,Stationary tray,,,3,Metal keyboard tray without mouse pad,
4,Paper tray,,,4,Metal keyboard tray with mouse pad,
5,Bag hook,,,,,
6,Foot rest,,,,,
,,,,CPU STAND,,
,,,,1,CPU trolley,
,,,,2,Hanging CPU holder- Fixed(Regular/Slim),
,,,,3,Hanging CPU holder Swivel & Pull out,
,,,,,,
