kind,file,line,column,category,category_id,matched_value,line_text
tsx,app/(site)/about/page.tsx,37,37,p*/m* spacing (px/py/etc),spacing_px_py,px-6,"<section className=""container px-6 2xl:px-0 section-y"">"
tsx,app/(site)/about/page.tsx,37,46,p*/m* spacing (px/py/etc),spacing_px_py,px-0,"<section className=""container px-6 2xl:px-0 section-y"">"
tsx,app/(site)/about/page.tsx,38,55,gap/space-*,gap_space,gap-12,"<div className=""grid grid-cols-1 items-center gap-12 lg:grid-cols-2"">"
tsx,app/(site)/about/page.tsx,39,79,rounded-*,rounded,rounded-2xl,"<div className=""scheme-border relative aspect-16/11 overflow-hidden rounded-2xl border"">"
tsx,app/(site)/about/page.tsx,44,27,style object key,style_key,width:,"sizes=""(max-width: 1024px) 100vw, 50vw"""
tsx,app/(site)/about/page.tsx,44,34,Npx,px_literal,1024px,"sizes=""(max-width: 1024px) 100vw, 50vw"""
tsx,app/(site)/about/page.tsx,44,42,vh/vw,vh_vw,100vw,"sizes=""(max-width: 1024px) 100vw, 50vw"""
tsx,app/(site)/about/page.tsx,44,49,vh/vw,vh_vw,50vw,"sizes=""(max-width: 1024px) 100vw, 50vw"""
tsx,app/(site)/about/page.tsx,49,27,gap/space-*,gap_space,space-y-5,"<div className=""space-y-5"">"
tsx,app/(site)/about/page.tsx,64,35,p*/m* spacing (px/py/etc),spacing_px_py,px-6,"<div className=""container px-6 2xl:px-0"">"
tsx,app/(site)/about/page.tsx,64,44,p*/m* spacing (px/py/etc),spacing_px_py,px-0,"<div className=""container px-6 2xl:px-0"">"
tsx,app/(site)/about/page.tsx,65,56,gap/space-*,gap_space,gap-4,"<div className=""stats-block grid grid-cols-2 gap-4 md:grid-cols-4"">"
tsx,app/(site)/about/page.tsx,69,55,rounded-*,rounded,rounded-2xl,"className=""scheme-panel scheme-border rounded-2xl border p-6 text-center"""
tsx,app/(site)/about/page.tsx,69,74,p*/m* spacing (px/py/etc),spacing_px_py,p-6,"className=""scheme-panel scheme-border rounded-2xl border p-6 text-center"""
tsx,app/(site)/about/page.tsx,72,50,p*/m* spacing (px/py/etc),spacing_px_py,mt-2,"<p className=""stats-block__label mt-2"">{item.label}</p>"
tsx,app/(site)/about/page.tsx,81,37,p*/m* spacing (px/py/etc),spacing_px_py,px-6,"<section className=""container px-6 2xl:px-0 section-y"">"
tsx,app/(site)/about/page.tsx,81,46,p*/m* spacing (px/py/etc),spacing_px_py,px-0,"<section className=""container px-6 2xl:px-0 section-y"">"
tsx,app/(site)/about/page.tsx,82,25,p*/m* spacing (px/py/etc),spacing_px_py,mb-8,"<div className=""mb-8 max-w-3xl"">"
tsx,app/(site)/about/page.tsx,82,34,w-/h-*,size_wh,w-3,"<div className=""mb-8 max-w-3xl"">"
tsx,app/(site)/about/page.tsx,83,45,p*/m* spacing (px/py/etc),spacing_px_py,mb-4,"<p className=""typ-label text-body mb-4"">{ABOUT_PAGE_COPY.modelKicker}</p>"
tsx,app/(site)/about/page.tsx,85,47,p*/m* spacing (px/py/etc),spacing_px_py,mt-5,"<p className=""typ-body-sm text-body mt-5"">"
tsx,app/(site)/about/page.tsx,90,42,gap/space-*,gap_space,gap-4,"<div className=""grid grid-cols-1 gap-4 lg:grid-cols-3"">"
tsx,app/(site)/about/page.tsx,92,79,rounded-*,rounded,rounded-2xl,"<article key={pillar.title} className=""scheme-panel scheme-border rounded-2xl border p-6"">"
tsx,app/(site)/about/page.tsx,92,98,p*/m* spacing (px/py/etc),spacing_px_py,p-6,"<article key={pillar.title} className=""scheme-panel scheme-border rounded-2xl border p-6"">"
tsx,app/(site)/about/page.tsx,94,52,p*/m* spacing (px/py/etc),spacing_px_py,mt-3,"<p className=""page-copy-sm text-body mt-3"">{pillar.detail}</p>"
tsx,app/(site)/about/page.tsx,101,35,p*/m* spacing (px/py/etc),spacing_px_py,px-6,"<div className=""container px-6 2xl:px-0"">"
tsx,app/(site)/about/page.tsx,101,44,p*/m* spacing (px/py/etc),spacing_px_py,px-0,"<div className=""container px-6 2xl:px-0"">"
tsx,app/(site)/about/page.tsx,102,27,p*/m* spacing (px/py/etc),spacing_px_py,mb-8,"<div className=""mb-8 max-w-3xl"">"
tsx,app/(site)/about/page.tsx,102,36,w-/h-*,size_wh,w-3,"<div className=""mb-8 max-w-3xl"">"
tsx,app/(site)/about/page.tsx,103,47,p*/m* spacing (px/py/etc),spacing_px_py,mb-4,"<p className=""typ-label text-body mb-4"">{ABOUT_PAGE_COPY.processKicker}</p>"
tsx,app/(site)/about/page.tsx,107,44,gap/space-*,gap_space,gap-4,"<div className=""grid grid-cols-1 gap-4 lg:grid-cols-3"">"
tsx,app/(site)/about/page.tsx,111,60,rounded-*,rounded,rounded-2xl,"className=""scheme-panel-soft scheme-border rounded-2xl border p-6"""
tsx,app/(site)/about/page.tsx,111,79,p*/m* spacing (px/py/etc),spacing_px_py,p-6,"className=""scheme-panel-soft scheme-border rounded-2xl border p-6"""
tsx,app/(site)/about/page.tsx,113,52,p*/m* spacing (px/py/etc),spacing_px_py,mb-3,"<p className=""typ-label text-brand mb-3"">Step {index + 1}</p>"
tsx,app/(site)/about/page.tsx,115,54,p*/m* spacing (px/py/etc),spacing_px_py,mt-3,"<p className=""page-copy-sm text-body mt-3"">{step.detail}</p>"
tsx,app/(site)/about/page.tsx,124,37,p*/m* spacing (px/py/etc),spacing_px_py,px-6,"<section className=""container px-6 2xl:px-0 section-y"">"
tsx,app/(site)/about/page.tsx,124,46,p*/m* spacing (px/py/etc),spacing_px_py,px-0,"<section className=""container px-6 2xl:px-0 section-y"">"
tsx,app/(site)/about/page.tsx,125,25,p*/m* spacing (px/py/etc),spacing_px_py,mb-8,"<div className=""mb-8 flex flex-wrap items-end justify-between gap-5"">"
tsx,app/(site)/about/page.tsx,125,71,gap/space-*,gap_space,gap-5,"<div className=""mb-8 flex flex-wrap items-end justify-between gap-5"">"
tsx,app/(site)/about/page.tsx,127,47,p*/m* spacing (px/py/etc),spacing_px_py,mb-3,"<p className=""typ-label text-body mb-3"">{ABOUT_PAGE_COPY.confidenceKicker}</p>"
tsx,app/(site)/about/page.tsx,135,42,gap/space-*,gap_space,gap-3,"<div className=""grid grid-cols-1 gap-3 sm:grid-cols-2 lg:grid-cols-4"">"
tsx,app/(site)/about/page.tsx,142,37,p*/m* spacing (px/py/etc),spacing_px_py,px-6,"<section className=""container px-6 2xl:px-0 section-y-sm"">"
