kind,file,lines_with_hits,match_count,categories
css,app/css/core/site/routes/home/base.css,298,578,@keyframes(1); Npx(88); transition/animation(12); time (ms/s)(3); cubic-bezier(1); box position/size(107); %(88); z-index(1); rem/em(143); border-radius(15); padding(30); gap(17); font-size(20); vh/vw(9); line-height(9); letter-spacing(10); rgb/rgba(2); margin(17); box-shadow(5)
css,components/backend-architecture/BackendArchitecturePageView.module.css,272,548,hex color(28); box position/size(76); vh/vw(8); %(11); rgb/rgba(21); padding(28); Npx(220); margin(32); font-size(33); gap(18); letter-spacing(12); rem/em(12); border-radius(17); box-shadow(8); line-height(15); time (ms/s)(8); z-index(1)
css,app/css/core/planner/editor-chrome.css,326,525,gap(33); padding(35); Npx(46); border-radius(34); %(60); box-shadow(6); font-size(30); rem/em(135); box position/size(93); margin(19); letter-spacing(2); transition/animation(12); rgb/rgba(1); line-height(7); z-index(1); vh/vw(1); hex color(6); time (ms/s)(3); @keyframes(1)
css,app/css/core/site/routes/home/layout-fallback.css,233,447,box position/size(86); %(87); Npx(79); rem/em(102); gap(21); vh/vw(6); z-index(3); border-radius(11); font-size(7); letter-spacing(4); line-height(5); margin(12); padding(17); rgb/rgba(2); time (ms/s)(2); box-shadow(3)
css,app/css/core/planner/planner-controls.css,263,443,z-index(6); box position/size(61); padding(27); %(48); margin(14); Npx(53); border-radius(25); gap(25); font-size(25); rem/em(114); letter-spacing(9); box-shadow(8); rgb/rgba(2); transition/animation(8); time (ms/s)(12); line-height(4); @keyframes(2)
tsx,features/planner/ui/LayersPanel.tsx,66,359,Tailwind/CSS arbitrary [...](107); p*/m* spacing (px/py/etc)(20); text-* size(23); Npx(52); tracking/leading(8); style object key(42); gap/space-*(10); w-/h-*(70); font-weight(8); rem/em(7); transition(6); %(2); z-index(2); shadow*(2)
tsx,features/planner/ui/PlannerSessionDialog.tsx,102,353,Tailwind/CSS arbitrary [...](70); p*/m* spacing (px/py/etc)(81); gap/space-*(19); w-/h-*(49); rounded-*(29); Tailwind palette(3); animate-*(2); text-* size(15); style object key(25); tracking/leading(10); rem/em(35); font-weight(11); rgb/rgba(3); transition(1)
tsx,features/site-assistant/UnifiedAssistant.tsx,119,331,rounded-*(27); p*/m* spacing (px/py/etc)(50); text-* size(32); Tailwind palette(66); font-weight(15); tracking/leading(9); gap/space-*(23); transition(5); Tailwind/CSS arbitrary [...](36); w-/h-*(49); z-index(3); shadow*(4); rem/em(4); vh/vw(2); Npx(3); animate-*(2); %(1)
css,components/repo-store/RepoStorePageView.module.css,169,325,hex color(19); box position/size(38); vh/vw(5); Npx(136); margin(21); gap(17); padding(22); font-size(30); letter-spacing(6); rem/em(6); border-radius(10); rgb/rgba(8); line-height(6); box-shadow(1)
tsx,features/planner/ui/InspectorPanel.tsx,78,321,Tailwind/CSS arbitrary [...](91); p*/m* spacing (px/py/etc)(38); style object key(68); text-* size(40); gap/space-*(8); w-/h-*(25); font-weight(19); tracking/leading(11); rem/em(10); transition(7); Npx(4)
css,app/css/core/planner/planner-catalog.css,173,310,box position/size(42); %(49); Npx(28); padding(19); margin(10); rem/em(76); font-size(14); letter-spacing(7); border-radius(10); transition/animation(10); time (ms/s)(20); box-shadow(6); gap(9); rgb/rgba(2); z-index(4); line-height(2); @keyframes(2)
css,app/css/core/planner/fabric-canvas-workspace.css,176,300,box position/size(66); gap(14); rem/em(76); Npx(43); padding(21); %(38); margin(11); border-radius(10); font-size(9); z-index(4); box-shadow(3); letter-spacing(3); line-height(2)
tsx,features/planner/shared/components/editor/Toolbar.tsx,55,290,Tailwind/CSS arbitrary [...](106); text-* size(43); shadow*(20); transition(17); p*/m* spacing (px/py/etc)(39); gap/space-*(7); w-/h-*(19); Npx(4); font-weight(13); tracking/leading(3); rounded-*(13); z-index(4); Tailwind palette(2)
css,app/css/core/site/routes/home/type-fallback.css,110,273,font-size(32); rem/em(83); vh/vw(19); letter-spacing(25); line-height(26); box position/size(44); Npx(28); %(3); rgb/rgba(3); margin(5); padding(3); border-radius(1); gap(1)
css,app/css/core/site/routes/home/sections.css,159,271,gap(3); rem/em(63); box position/size(41); border-radius(12); font-size(16); line-height(10); transition/animation(15); Npx(38); padding(10); box-shadow(4); margin(4); letter-spacing(8); vh/vw(2); %(43); time (ms/s)(1); z-index(1)
css,app/css/core/planner/planner-workflow.css,211,267,@keyframes(1); %(69); Npx(31); gap(27); padding(18); box position/size(37); border-radius(15); box-shadow(13); margin(11); line-height(9); font-size(15); letter-spacing(8); z-index(1); transition/animation(3); rem/em(9)
tsx,features/crm/ClientsView.tsx,97,229,Tailwind/CSS arbitrary [...](31); w-/h-*(32); gap/space-*(24); p*/m* spacing (px/py/etc)(37); text-* size(40); Npx(8); font-weight(23); tracking/leading(11); rem/em(8); rounded-*(9); style object key(1); transition(1); animate-*(2); z-index(1); Tailwind duration/delay(1)
tsx,features/planner/3d/Planner3DViewer.tsx,107,225,Tailwind/CSS arbitrary [...](100); shadow*(13); inline style={{ }}(2); w-/h-*(12); rem/em(20); rounded-*(12); p*/m* spacing (px/py/etc)(30); font-weight(11); tracking/leading(11); Npx(3); style object key(3); z-index(2); gap/space-*(4); transition(2)
tsx,features/site-assistant/AdvancedBot.tsx,85,217,rounded-*(8); p*/m* spacing (px/py/etc)(21); text-* size(12); Tailwind palette(109); gap/space-*(13); font-weight(4); Tailwind/CSS arbitrary [...](12); z-index(2); w-/h-*(16); shadow*(2); transition(4); tracking/leading(2); motion props(4); style object key(3); rem/em(2); vh/vw(1); Npx(2)
css,app/css/core/site/routes/product-viewer.css,98,216,font-size(10); letter-spacing(6); rem/em(49); line-height(8); box position/size(51); z-index(1); Npx(32); %(16); padding(20); border-radius(11); box-shadow(2); gap(3); transition/animation(4); time (ms/s)(3)
tsx,app/(site)/products/[category]/[product]/ProductViewer.tsx,107,209,w-/h-*(24); animate-*(2); rounded-*(10); Tailwind/CSS arbitrary [...](39); shadow*(3); p*/m* spacing (px/py/etc)(61); gap/space-*(14); transition(9); font-weight(10); z-index(4); inline style={{ }}(1); style object key(2); %(2); text-* size(19); Tailwind duration/delay(1); tracking/leading(8)
css,app/css/core/planner/planner-shell.css,152,208,font-size(7); line-height(3); box position/size(52); vh/vw(2); Npx(34); gap(14); z-index(3); padding(18); %(29); border-radius(10); rem/em(14); margin(8); box-shadow(8); transition/animation(3); letter-spacing(3)
