Status,Path,SizeBytes,ReferenceCount,ExampleReference,TopLevel
unused,public/catalog-logo-sharp.svg,604,0,,catalog-logo-sharp.svg
used,public/catalog-logo-sharp.webp,35828,4,.\tests\unit\homepage-data.test.ts:71,catalog-logo-sharp.webp
unused,public/cdn/dikhololo_night_1k.hdr,1745132,0,,cdn
unused,public/cdn/empty_warehouse_01_1k.hdr,1672140,0,,cdn
unused,public/cdn/forest_slope_1k.hdr,1911073,0,,cdn
unused,public/cdn/kiara_1_dawn_1k.hdr,1475077,0,,cdn
unused,public/cdn/lebombo_1k.hdr,1476953,0,,cdn
unused,public/cdn/potsdamer_platz_1k.hdr,1540678,0,,cdn
unused,public/cdn/rooitou_park_1k.hdr,1588504,0,,cdn
unused,public/cdn/st_fagans_interior_1k.hdr,1524050,0,,cdn
unused,public/cdn/studio_small_03_1k.hdr,1680234,0,,cdn
unused,public/cdn/vendor/basis-universal/2021-04-15-ba1c3e4/basis_transcoder.js,62337,0,,cdn
used,public/cdn/vendor/basis-universal/2021-04-15-ba1c3e4/basis_transcoder.wasm,499935,1,.\lib\ui\selfHostedAssetUrls.ts:13,cdn
unused,public/cdn/vendor/draco/1.5.6/draco_decoder.js,719410,0,,cdn
unused,public/cdn/vendor/draco/1.5.6/draco_decoder.wasm,285747,0,,cdn
used,public/cdn/vendor/draco/1.5.6/draco_wasm_wrapper.js,58763,1,.\lib\ui\selfHostedAssetUrls.ts:7,cdn
used,public/cdn/vendor/model-viewer@4.3.1/model-viewer.min.js,1068903,1,.\lib\ui\selfHostedAssetUrls.ts:2,cdn
unused,public/cdn/venice_sunset_1k.hdr,1397783,0,,cdn
unused,public/fallback/fallback-about.html,1416,0,,fallback
unused,public/fallback/fallback-generic.html,1646,0,,fallback
unused,public/fallback/fallback-home.html,1391,0,,fallback
unused,public/fallback/fallback-products.html,1995,0,,fallback
unused,public/favicon.ico,1991,0,,favicon.ico
used,public/fonts/cisco-sans/CiscoSans-Bold.ttf,68392,1,.\lib\fonts.ts:21,fonts
unused,public/fonts/cisco-sans/CiscoSans-BoldOblique.ttf,74020,0,,fonts
used,public/fonts/cisco-sans/CiscoSans-ExtraLight.ttf,69400,1,.\lib\fonts.ts:11,fonts
unused,public/fonts/cisco-sans/CiscoSans-ExtraLightOblique.ttf,75544,0,,fonts
unused,public/fonts/cisco-sans/CiscoSans-Heavy.ttf,68008,0,,fonts
unused,public/fonts/cisco-sans/CiscoSans-HeavyOblique.ttf,72780,0,,fonts
unused,public/fonts/cisco-sans/CiscoSans-Oblique.ttf,74224,0,,fonts
used,public/fonts/cisco-sans/CiscoSans-Thin.ttf,69592,1,.\lib\fonts.ts:6,fonts
unused,public/fonts/cisco-sans/CiscoSans-ThinOblique.ttf,75076,0,,fonts
used,public/fonts/cisco-sans/CiscoSans.ttf,68484,1,.\lib\fonts.ts:16,fonts
unused,public/fonts/helvetica-neue/Helvetica Neue 57 Condensed.woff2,13132,0,,fonts
unused,public/fonts/helvetica-neue/Helvetica Neue Italic.woff2,17812,0,,fonts
unused,public/fonts/helvetica-neue/Helvetica Neue Light.woff2,32404,0,,fonts
unused,public/fonts/helvetica-neue/Helvetica Neue ME Bold.woff2,37200,0,,fonts
unused,public/fonts/helvetica-neue/Helvetica Neue ME.woff2,36888,0,,fonts
unused,public/fonts/helvetica-neue/Helvetica Neue Regular.woff2,18520,0,,fonts
unused,public/fonts/helvetica-neue/Helvetica Neue Thin.woff2,69148,0,,fonts
