script,extension,wired_in_package_json,category
"scripts/analyze-coverage-gap.mjs","mjs","no","utility"
"scripts/analyze-coverage-report.mjs","mjs","no","utility"
"scripts/analyze-hooks-coverage.mjs","mjs","no","utility"
"scripts/arrange_supabase_catalog_assets.ts","ts","yes","database"
"scripts/audit-hosted-runtime.mjs","mjs","yes","audit"
"scripts/audit-product-quality.ts","ts","yes","audit"
"scripts/audit-quality-gate.mjs","mjs","no","audit"
"scripts/audit-test-quality.ts","ts","no","audit"
"scripts/auditCdnAssetFailures.ts","ts","yes","audit"
"scripts/auditUnresolvedCdnPaths.ts","ts","yes","audit"
"scripts/audit_external_asset_hosts.py","py","yes","audit"
"scripts/audit_slug_id_integrity.ts","ts","yes","audit"
"scripts/audit_supabase_admin.ts","ts","yes","audit"
"scripts/audit_supabase_catalog.ts","ts","yes","audit"
"scripts/backfill_canonical_catalog_metadata.ts","ts","yes","assets"
"scripts/backfill_missing_product_images.ts","ts","yes","utility"
"scripts/backup_supabase.ts","ts","yes","database"
"scripts/blockRenderUtils.ts","ts","no","utility"
"scripts/canvas-audit.mjs","mjs","no","utility"
"scripts/capture-home.mjs","mjs","no","utility"
"scripts/capture-responsive.mjs","mjs","no","utility"
"scripts/catalog-preview.ts","ts","no","assets"
"scripts/chat-snapshot.mjs","mjs","yes","utility"
"scripts/check-full-page.mjs","mjs","no","utility"
"scripts/check-header.mjs","mjs","no","utility"
"scripts/check-mega.mjs","mjs","no","utility"
"scripts/check-test-layout.mjs","mjs","yes","utility"
"scripts/checkAuthEnv.ts","ts","yes","utility"
"scripts/clean-3105.mjs","mjs","no","utility"
"scripts/clean-test-artifacts.mjs","mjs","yes","test-tooling"
"scripts/compare-meta.ps1","ps1","no","utility"
"scripts/compare-trees.ps1","ps1","no","utility"
"scripts/count-r2-objects.mjs","mjs","yes","assets"
"scripts/coverage-metrics.mjs","mjs","no","utility"
"scripts/create-bucket.ts","ts","yes","utility"
"scripts/db_advisors.ts","ts","yes","database"
